"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","MA1","MW1","REM","EQD"
"76361599999","2025-01-01T00:50:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","220,1,N,0026,1","22000,1,9,N","012875,1,9,9","+0190,1","+0140,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10139,1,99999,9",,"MET055METAR MMLM 010050Z 22005KT 8SM SKC 19/14 A2994 RMK HZY=",
"76361599999","2025-01-01T01:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","012875,1,9,9","+0160,1","+0130,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10142,1,99999,9",,"MET047METAR MMLM 010140Z 00000KT 8SM SKC 16/13 A2995=",
"76361599999","2025-01-01T02:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","280,1,N,0021,1","22000,1,9,N","012875,1,9,9","+0150,1","+0120,1","10146,1",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10146,1,99999,9",,"MET058METAR MMLM 010241Z 28004KT 8SM SKC 15/12 A2996 RMK SLP146=",
"76361599999","2025-01-01T03:50:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","012875,1,9,9","+0130,1","+0110,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10146,1,99999,9",,"MET047METAR MMLM 010350Z 00000KT 8SM SKC 13/11 A2996=",
"76361599999","2025-01-01T04:44:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","012875,1,9,9","+0130,1","+0110,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10146,1,99999,9",,"MET047METAR MMLM 010444Z 00000KT 8SM SKC 13/11 A2996=",
"76361599999","2025-01-01T13:54:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","310,1,N,0031,1","06706,1,C,N","009656,1,9,9","+0130,1","+0120,1","99999,9","07,1,+06706,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10152,1,99999,9","40,1","MET069METAR MMLM 011354Z 31006KT 6SM VCFG BKN220 13/12 A2998 RMK 8/008 RTS=",
"76361599999","2025-01-01T14:48:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","260,1,N,0021,1","06706,1,C,N","009656,1,9,9","+0130,1","+0120,1","10151,1","07,1,+06706,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10159,1,99999,9","40,1","MET073METAR MMLM 011448Z 26004KT 6SM VCFG BKN220 13/12 A3000 RMK SLP1510 8/008=",
"76361599999","2025-01-01T15:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0031,1","07620,1,C,N","011265,1,9,9","+0170,1","+0150,1","99999,9","07,1,+07620,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,07620,1,99,9,99,9","10166,1,99999,9","40,1","MET065METAR MMLM 011540Z 30006KT 7SM VCFG BKN250 17/15 A3002 RMK 8/008=",
"76361599999","2025-01-01T16:49:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0072,1","07620,1,C,N","011265,1,9,9","+0200,1","+0160,1","99999,9","07,1,+07620,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,07620,1,99,9,99,9","10173,1,99999,9",,"MET064METAR MMLM 011649Z 30014KT 7SM BKN250 20/16 A3004 RMK 8/008 HZY=",
"76361599999","2025-01-01T17:46:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","320,1,N,0077,1","07620,1,C,N","011265,1,9,9","+0230,1","+0130,1","10161,1","07,1,+07620,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,07620,1,99,9,99,9","10169,1,99999,9",,"MET072METAR MMLM 011746Z 32015KT 7SM BKN250 23/13 A3003 RMK SLP1610 8/008 HZY=",
