"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AY1","AY2","GA1","GA2","GA3","GF1","GJ1","IA1","IA2","KA1","KA2","MA1","MD1","ME1","MW1","OC1","REM","EQD"
"76373099999","2009-01-01T00:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","150,1,N,0010,1","22000,1,9,N","070000,1,N,1","+0191,1","-0001,1","10101,1","24,0000,9,1",,,,,,"02,1,+00750,1,06,1",,,"04,99,1,04,1,03,1,00800,1,00,1,00,1",,"01,9",,"120,M,+0250,1","180,N,+0060,1","99999,9,08199,1","6,1,003,1,-019,1",,,,"SYN130AAXX  01001 76373 32588 41501 10191 21001 38199 40101 56003 84300 92345 333 10250 20060 30/// 50291 56600 59019 70000 82625 82925;",
"76373099999","2009-01-01T15:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","070000,1,N,1","+0004,1","-0011,1","10239,1",,,,,,,"02,1,+03000,1,03,1",,,"03,99,1,02,1,00,1,01750,1,03,1,09,1",,"01,9",,,,"99999,9,08230,1","2,1,014,1,-012,1",,,,"SYN106AAXX  01151 76373 32788 30000 10004 21011 38230 40239 52014 82039 91447 333 30/// 56066 59012 82360 81070;",
"76373099999","2009-01-01T18:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","150,1,N,0010,1","06000,1,9,N","070000,1,N,1","+9999,9","+0010,1","10221,1",,,,,,,"05,1,+06000,1,02,1",,,"05,99,1,00,1,00,1,99999,9,00,1,08,1",,"01,9",,"120,M,+0172,1","240,N,-0026,1","99999,9,08221,1","8,1,009,1,-017,1",,,,"SYN112AAXX  01181 76373 32988 51501 10164 20010 38221 40221 58009 80008 91750 333 10172 21026 30/// 56006 59017 85270;","Q01+001643ATOT  "
"76373099999","2009-01-01T21:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","270,1,N,0040,1","03600,1,C,N","070000,1,N,1","+0225,2","-0051,1","10146,1",,,,,,,"02,1,+00750,1,06,1","01,1,+03000,1,03,1",,"08,99,1,02,1,06,1,00800,1,04,1,08,1",,"01,9",,,,"99999,9,08188,1","7,1,033,1,-014,1",,,,"SYN112AAXX  01211 76373 32588 82704 10225 21051 38188 40146 57033 82648 92043 333 30/// 56666 59014 82625 81360 85270;",
"76373099999","2009-01-02T00:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","290,1,N,0030,1","09000,1,9,N","070000,1,N,1","+0196,1","-0073,1","10103,1","24,0000,9,1",,,,,,"03,1,+03000,1,03,1",,,"06,99,1,03,1,00,1,01750,1,03,1,05,1",,"01,9",,"120,M,+0240,1","180,N,-0026,1","99999,9,08183,1","6,1,005,1,-016,1",,,,"SYN130AAXX  02001 76373 32788 62903 10196 21073 38183 40103 56005 83035 92340 333 10240 21026 30/// 50321 56066 59016 70000 83360 83070;",
"76373099999","2009-01-02T12:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","999,9,C,0000,1","09000,1,C,N","000100,1,N,1","+0022,1","-0034,1","10162,1","24,0000,9,1",,,,,,"02,1,+03000,1,03,1",,,"05,99,1,02,1,00,1,01750,1,06,1,02,1",,"09,9","999,-0026,9","120,N,+0005,1","240,M,+0240,1","99999,9,08198,1","9,9,999,9,-018,1",,,,"SYN124AAXX  02121 76373 32701 50000 10022 21034 38198 40162 5//// 82062 91150 333 10240 20005 31026 56099 59018 70000 82360 83070;",
"76373099999","2009-01-02T18:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","090,1,N,0010,1","06000,1,9,N","070000,1,N,1","+0186,1","-0009,1","10175,1",,,,,,,"08,1,+06000,1,02,1",,,"08,99,1,00,1,00,1,99999,9,00,1,07,1",,"01,9",,"120,M,+0196,1","240,N,-0010,1","99999,9,08198,1","8,1,009,1,-023,1",,,,"SYN118AAXX  02181 76373 32988 80901 10186 21009 38198 40175 58009 80007 91750 333 10196 21010 30/// 56006 59023 88270 99020;",
"76373099999","2009-01-02T21:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","300,1,N,0060,1","01500,1,9,N","070000,1,N,1","+0199,1","-0047,1","10111,1",,,,,,,,,,"08,99,1,08,1,00,1,01750,1,02,1,99,9",,"01,9",,,,"99999,9,08170,1","7,1,028,1,-018,1",,,,"SYN100AAXX  02211 76373 32788 83006 10199 21047 38170 40111 57028 8802/ 92150 333 30/// 5806/ 59018 88558;",
"76373099999","2009-01-03T00:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","220,1,N,0040,1","09000,1,9,N","070000,1,N,1","+0170,1","-0013,1","10094,1",,,,,,,"02,1,+00720,1,08,1","03,1,+03000,1,03,1",,"06,99,1,02,1,01,1,00800,1,03,1,04,1",,"01,9",,"120,M,+0228,1","180,N,-0010,1","99999,9,08179,1","3,1,009,1,-004,1",,,,"SYN136AAXX  03001 76373 32588 62204 10170 21013 38179 40094 53009 82134 92350 333 10228 21010 30/// 50301 56666 59004 7000 82824 83360 8 1070;",
"76373099999","2009-01-03T12:00:00","4","25.35","-105.75","1967.0","TEPEHUANES DGO., MX","FM-12","99999","V020","999,9,C,0000,1","22000,1,C,N","000100,1,N,1","+0006,1","-0014,1","10152,1","24,0000,9,1",,,,,,"02,1,+03000,1,03,1",,,"05,99,1,02,1,00,1,01750,1,04,1,01,1",,"09,9","999,-0030,9","120,N,-0012,1","240,M,+0228,1","99999,9,08179,1","9,9,999,9,-019,1",,,,"SYN124AAXX  03121 76373 32701 50000 10006 21014 38179 40152 5//// 82041 91150 333 10228 21012 31030 56099 59019 70000 82360 83070;",
