-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2007 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS     MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2000,23.0,-105.625,20.48,21.77,22.11,25.01,27.26,26.98,25.66,25.19,25.17,23.57,20.92,20.38,23.71
TS,2000,23.0,-106.25,21.83,22.92,22.67,24.62,27.63,29.42,28.98,28.88,28.08,27.62,24.59,23.92,25.93
TS,2000,23.0,-106.875,21.75,22.12,21.92,23.01,25.73,28.28,29.06,29.97,28.65,29.09,26.75,25.15,25.96
TS,2000,23.0,-107.5,21.57,22.11,22.33,22.97,24.65,27.27,28.67,29.82,28.38,28.95,26.92,24.79,25.7
TS,2000,23.0,-108.125,21.36,21.88,22.1,22.65,23.51,26.13,28.22,29.86,28.61,29.05,26.74,24.34,25.37
TS,2000,23.0,-108.75,21.73,21.58,21.56,22.57,22.88,25.15,27.7,29.97,28.83,29.29,26.54,24.06,25.15
TS,2000,23.5,-105.625,15.33,16.31,16.59,19.81,21.66,21.97,21.42,20.55,20.89,18.17,15.04,14.68,18.53
TS,2000,23.5,-106.25,20.75,22.14,22.56,25.43,27.96,28.89,27.38,26.12,25.84,24.21,20.65,20.79,24.39
TS,2000,23.5,-106.875,21.0,21.82,21.8,23.38,26.4,29.09,29.19,29.56,28.55,28.18,24.91,23.85,25.64
TS,2000,23.5,-107.5,20.95,21.55,21.68,22.56,24.99,27.92,28.95,30.15,28.76,29.12,26.43,24.43,25.62
TS,2000,23.5,-108.125,21.02,21.52,21.84,22.71,24.18,26.82,28.56,30.2,28.94,29.2,26.55,23.92,25.46
TS,2000,23.5,-108.75,21.1,21.11,21.59,22.72,23.71,25.86,28.11,30.23,29.13,29.41,26.36,23.43,25.23
TS,2000,24.0,-105.625,10.69,11.8,12.45,16.14,18.45,18.62,18.4,17.41,17.83,14.54,10.66,9.72,14.73
