-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2007 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS     MERRA-2 Surface Pressure (kPa) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2000,23.0,-105.625,94.81,94.83,94.59,94.6,94.45,94.48,94.59,94.54,94.32,94.57,94.6,94.74,94.59
PS,2000,23.0,-106.25,100.48,100.51,100.27,100.23,100.05,100.04,100.14,100.07,99.84,100.13,100.23,100.38,100.2
PS,2000,23.0,-106.875,101.5,101.53,101.28,101.24,101.06,101.04,101.13,101.06,100.83,101.12,101.24,101.4,101.2
PS,2000,23.0,-107.5,101.55,101.58,101.33,101.28,101.1,101.07,101.16,101.09,100.85,101.17,101.29,101.46,101.25
PS,2000,23.0,-108.125,101.58,101.61,101.36,101.29,101.11,101.07,101.16,101.1,100.86,101.18,101.32,101.48,101.26
PS,2000,23.0,-108.75,101.61,101.64,101.38,101.31,101.11,101.07,101.16,101.1,100.86,101.19,101.34,101.51,101.27
PS,2000,23.5,-105.625,86.96,87.0,86.77,86.82,86.69,86.72,86.83,86.8,86.6,86.82,86.79,86.93,86.81
PS,2000,23.5,-106.25,97.32,97.35,97.1,97.09,96.93,96.95,97.06,97.01,96.78,97.05,97.1,97.25,97.08
PS,2000,23.5,-106.875,101.22,101.25,101.0,100.95,100.76,100.75,100.83,100.77,100.53,100.85,100.98,101.12,100.92
PS,2000,23.5,-107.5,101.54,101.57,101.32,101.26,101.08,101.07,101.15,101.09,100.85,101.16,101.29,101.45,101.24
PS,2000,23.5,-108.125,101.58,101.61,101.36,101.29,101.1,101.07,101.15,101.09,100.85,101.18,101.33,101.49,101.26
PS,2000,23.5,-108.75,101.61,101.63,101.37,101.29,101.1,101.07,101.15,101.1,100.85,101.19,101.34,101.51,101.27
PS,2000,24.0,-105.625,80.39,80.43,80.19,80.3,80.2,80.24,80.33,80.31,80.15,80.31,80.21,80.36,80.28
PS,2000,24.0,-106.25,91.57,91.6,91.35,91.38,91.25,91.29,91.41,91.36,91.15,91.38,91.37,91.52,91.39
PS,2000,24.0,-106.875,99.67,99.7,99.45,99.41,99.22,99.22,99.32,99.27,99.03,99.35,99.46,99.59,99.39
PS,2000,24.0,-107.5,101.5,101.53,101.27,101.21,101.03,101.02,101.11,101.05,100.81,101.12,101.25,101.41,101.19
PS,2000,24.0,-108.125,101.58,101.61,101.36,101.28,101.09,101.06,101.14,101.09,100.85,101.19,101.34,101.5,101.26
PS,2000,24.0,-108.75,101.61,101.64,101.37,101.29,101.1,101.06,101.14,101.1,100.85,101.19,101.35,101.52,101.27
PS,2000,24.5,-105.625,77.57,77.61,77.35,77.5,77.43,77.48,77.58,77.57,77.43,77.53,77.35,77.53,77.5
PS,2000,24.5,-106.25,85.83,85.87,85.61,85.68,85.58,85.62,85.72,85.69,85.5,85.7,85.62,85.79,85.68
PS,2000,24.5,-106.875,96.8,96.83,96.58,96.56,96.4,96.43,96.54,96.5,96.27,96.55,96.61,96.75,96.57
PS,2000,24.5,-107.5,101.12,101.14,100.88,100.82,100.63,100.62,100.71,100.65,100.42,100.76,100.89,101.04,100.81
PS,2000,24.5,-108.125,101.55,101.58,101.32,101.24,101.05,101.03,101.11,101.07,100.82,101.16,101.31,101.47,101.22
PS,2000,24.5,-108.75,101.6,101.63,101.37,101.28,101.08,101.05,101.13,101.09,100.84,101.19,101.35,101.52,101.26
PS,2000,25.0,-105.625,77.58,77.61,77.32,77.5,77.44,77.52,77.63,77.62,77.5,77.54,77.31,77.53,77.51
PS,2000,25.0,-106.25,82.09,82.13,81.86,81.97,81.89,81.92,82.01,81.98,81.82,81.99,81.86,82.04,81.96
PS,2000,25.0,-106.875,91.85,91.89,91.63,91.65,91.52,91.57,91.68,91.65,91.43,91.67,91.65,91.81,91.67
PS,2000,25.0,-107.5,99.12,99.14,98.88,98.83,98.65,98.67,98.76,98.72,98.48,98.81,98.91,99.05,98.83
PS,2000,25.0,-108.125,101.18,101.21,100.95,100.87,100.67,100.66,100.75,100.71,100.47,100.81,100.96,101.11,100.86
PS,2000,25.0,-108.75,101.6,101.63,101.36,101.27,101.07,101.04,101.12,101.08,100.83,101.19,101.36,101.51,101.25
PS,2000,25.5,-105.625,78.83,78.86,78.53,78.73,78.66,78.76,78.87,78.88,78.76,78.79,78.54,78.79,78.75
PS,2000,25.5,-106.25,77.65,77.69,77.4,77.57,77.52,77.58,77.69,77.68,77.55,77.6,77.38,77.6,77.58
PS,2000,25.5,-106.875,83.82,83.87,83.61,83.7,83.61,83.64,83.74,83.72,83.55,83.72,83.6,83.78,83.7
PS,2000,25.5,-107.5,94.39,94.43,94.16,94.15,94.01,94.04,94.14,94.11,93.88,94.16,94.19,94.33,94.17
PS,2000,25.5,-108.125,100.13,100.15,99.89,99.82,99.63,99.63,99.73,99.69,99.44,99.79,99.92,100.06,99.82
PS,2000,25.5,-108.75,101.4,101.42,101.15,101.06,100.86,100.84,100.93,100.89,100.64,101.0,101.17,101.32,101.06
PS,2000,26.0,-105.625,79.54,79.56,79.21,79.42,79.35,79.48,79.6,79.61,79.5,79.5,79.22,79.51,79.46
PS,2000,26.0,-106.25,75.79,75.83,75.51,75.74,75.71,75.81,75.93,75.91,75.79,75.77,75.49,75.74,75.75
PS,2000,26.0,-106.875,78.72,78.76,78.48,78.64,78.59,78.64,78.74,78.72,78.58,78.65,78.45,78.66,78.64
PS,2000,26.0,-107.5,88.6,88.64,88.36,88.41,88.3,88.34,88.45,88.43,88.23,88.43,88.37,88.54,88.43
PS,2000,26.0,-108.125,96.41,96.45,96.18,96.14,95.98,96.0,96.11,96.08,95.85,96.15,96.21,96.36,96.16
PS,2000,26.0,-108.75,100.38,100.41,100.13,100.05,99.85,99.83,99.93,99.91,99.65,100.01,100.16,100.3,100.05
PS,2000,26.5,-105.625,80.4,80.42,80.05,80.26,80.19,80.33,80.45,80.47,80.35,80.35,80.07,80.37,80.31
PS,2000,26.5,-106.25,77.04,77.07,76.73,76.96,76.94,77.05,77.17,77.17,77.05,77.01,76.71,76.99,76.99
PS,2000,26.5,-106.875,78.0,78.04,77.74,77.93,77.89,77.96,78.07,78.05,77.93,77.95,77.71,77.95,77.93
PS,2000,26.5,-107.5,84.57,84.61,84.31,84.42,84.33,84.39,84.5,84.47,84.31,84.44,84.31,84.52,84.43
PS,2000,26.5,-108.125,92.8,92.84,92.56,92.57,92.42,92.46,92.56,92.54,92.32,92.57,92.58,92.74,92.58
PS,2000,26.5,-108.75,99.15,99.18,98.9,98.83,98.64,98.64,98.75,98.73,98.48,98.82,98.93,99.08,98.84
PS,2000,27.0,-105.625,82.9,82.91,82.52,82.71,82.6,82.76,82.86,82.91,82.78,82.81,82.57,82.89,82.77
PS,2000,27.0,-106.25,81.15,81.17,80.79,81.01,80.94,81.08,81.18,81.21,81.08,81.07,80.81,81.13,81.05
PS,2000,27.0,-106.875,78.38,78.41,78.07,78.29,78.26,78.37,78.49,78.49,78.37,78.33,78.05,78.33,78.32
PS,2000,27.0,-107.5,81.6,81.63,81.32,81.48,81.41,81.48,81.58,81.56,81.43,81.5,81.31,81.54,81.49
PS,2000,27.0,-108.125,88.63,88.67,88.38,88.44,88.32,88.37,88.48,88.46,88.28,88.46,88.39,88.58,88.45
PS,2000,27.0,-108.75,95.43,95.47,95.18,95.16,94.99,95.01,95.12,95.1,94.87,95.16,95.22,95.37,95.17
PS,2001,23.0,-105.625,94.8,94.65,94.6,94.6,94.49,94.54,94.57,94.56,94.37,94.59,94.66,94.62,94.59
PS,2001,23.0,-106.25,100.5,100.32,100.32,100.25,100.09,100.12,100.12,100.09,99.88,100.15,100.26,100.29,100.2
PS,2001,23.0,-106.875,101.53,101.35,101.35,101.26,101.09,101.12,101.11,101.08,100.86,101.15,101.26,101.31,101.21
PS,2001,23.0,-107.5,101.59,101.41,101.4,101.31,101.13,101.15,101.14,101.11,100.88,101.18,101.31,101.36,101.25
PS,2001,23.0,-108.125,101.62,101.45,101.41,101.33,101.14,101.15,101.14,101.11,100.87,101.21,101.32,101.39,101.26
PS,2001,23.0,-108.75,101.65,101.48,101.43,101.35,101.15,101.15,101.13,101.11,100.86,101.23,101.34,101.42,101.27
PS,2001,23.5,-105.625,86.93,86.85,86.72,86.8,86.75,86.78,86.81,86.83,86.66,86.86,86.85,86.79,86.8
PS,2001,23.5,-106.25,97.33,97.16,97.13,97.1,96.97,97.02,97.05,97.03,96.83,97.06,97.14,97.13,97.08
PS,2001,23.5,-106.875,101.26,101.07,101.06,100.98,100.8,100.82,100.82,100.78,100.57,100.86,100.99,101.03,100.92
PS,2001,23.5,-107.5,101.58,101.4,101.38,101.29,101.11,101.14,101.14,101.11,100.88,101.18,101.3,101.35,101.24
PS,2001,23.5,-108.125,101.63,101.45,101.41,101.33,101.14,101.13,101.13,101.1,100.87,101.2,101.33,101.4,101.26
PS,2001,23.5,-108.75,101.65,101.48,101.42,101.33,101.14,101.13,101.13,101.11,100.86,101.22,101.34,101.42,101.27
PS,2001,24.0,-105.625,80.29,80.28,80.11,80.28,80.26,80.29,80.3,80.36,80.2,80.36,80.29,80.21,80.27
PS,2001,24.0,-106.25,91.54,91.43,91.34,91.37,91.29,91.35,91.39,91.39,91.2,91.4,91.43,91.38,91.38
PS,2001,24.0,-106.875,99.71,99.52,99.5,99.43,99.26,99.29,99.31,99.28,99.07,99.35,99.47,99.5,99.39
PS,2001,24.0,-107.5,101.54,101.36,101.33,101.24,101.07,101.09,101.1,101.07,100.84,101.14,101.26,101.32,101.2
PS,2001,24.0,-108.125,101.64,101.46,101.41,101.32,101.13,101.13,101.13,101.11,100.87,101.2,101.33,101.41,101.26
PS,2001,24.0,-108.75,101.66,101.49,101.42,101.33,101.14,101.13,101.13,101.11,100.86,101.22,101.34,101.43,101.27
PS,2001,24.5,-105.625,77.41,77.44,77.25,77.48,77.49,77.53,77.55,77.62,77.48,77.59,77.46,77.36,77.47
PS,2001,24.5,-106.25,85.75,85.71,85.56,85.67,85.63,85.67,85.7,85.73,85.55,85.74,85.71,85.63,85.67
PS,2001,24.5,-106.875,96.84,96.67,96.61,96.57,96.44,96.49,96.54,96.52,96.32,96.56,96.64,96.63,96.57
PS,2001,24.5,-107.5,101.17,100.98,100.94,100.85,100.67,100.68,100.71,100.68,100.46,100.76,100.89,100.94,100.81
PS,2001,24.5,-108.125,101.61,101.43,101.37,101.28,101.09,101.09,101.11,101.08,100.85,101.18,101.31,101.38,101.23
PS,2001,24.5,-108.75,101.66,101.49,101.41,101.33,101.13,101.12,101.12,101.1,100.86,101.22,101.34,101.43,101.27
PS,2001,25.0,-105.625,77.38,77.42,77.23,77.47,77.51,77.57,77.59,77.68,77.55,77.62,77.46,77.35,77.49
PS,2001,25.0,-106.25,81.96,81.95,81.79,81.96,81.93,81.97,81.98,82.04,81.88,82.04,81.97,81.88,81.95
PS,2001,25.0,-106.875,91.83,91.73,91.62,91.65,91.57,91.62,91.67,91.67,91.49,91.69,91.71,91.67,91.66
PS,2001,25.0,-107.5,99.16,98.97,98.92,98.85,98.69,98.72,98.77,98.75,98.54,98.81,98.92,98.95,98.84
PS,2001,25.0,-108.125,101.25,101.06,101.0,100.91,100.71,100.72,100.75,100.73,100.51,100.82,100.95,101.02,100.87
PS,2001,25.0,-108.75,101.66,101.49,101.4,101.32,101.11,101.1,101.11,101.1,100.86,101.21,101.34,101.44,101.26
