-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2007 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS10M_MAX,2000,23.0,-105.625,4.0,5.05,4.15,4.77,4.71,4.44,4.17,5.05,4.3,3.41,3.84,4.38,5.05
WS10M_MAX,2000,23.0,-106.25,6.37,9.81,7.35,6.09,7.21,6.41,6.17,6.31,7.75,6.49,8.01,7.46,9.81
WS10M_MAX,2000,23.0,-106.875,9.6,11.53,9.46,8.65,7.74,7.81,7.41,7.55,9.45,9.82,9.64,10.44,11.53
WS10M_MAX,2000,23.0,-107.5,9.96,11.6,9.53,7.8,7.3,7.85,6.79,8.27,10.71,11.71,9.9,10.57,11.71
WS10M_MAX,2000,23.0,-108.125,9.97,11.74,9.37,8.08,6.3,7.45,7.16,9.89,11.48,11.55,9.81,10.31,11.74
WS10M_MAX,2000,23.0,-108.75,9.94,11.13,8.96,7.68,6.13,7.49,6.73,10.83,12.11,11.18,9.97,9.97,12.11
WS10M_MAX,2000,23.5,-105.625,3.84,3.1,3.54,3.32,3.58,3.1,2.68,2.33,2.59,2.33,2.97,3.97,3.97
WS10M_MAX,2000,23.5,-106.25,4.81,7.06,5.7,5.53,6.47,5.85,5.85,6.1,5.51,4.3,5.39,5.05,7.06
WS10M_MAX,2000,23.5,-106.875,7.63,10.55,8.2,7.27,8.08,7.24,7.43,6.93,8.15,8.04,8.19,8.43,10.55
WS10M_MAX,2000,23.5,-107.5,10.05,11.3,9.6,7.93,7.86,7.2,7.97,7.93,9.86,11.39,10.52,10.83,11.39
WS10M_MAX,2000,23.5,-108.125,10.23,11.56,10.18,9.12,6.29,6.98,8.01,7.74,10.71,11.58,9.72,10.39,11.58
WS10M_MAX,2000,23.5,-108.75,10.15,11.12,9.99,9.32,5.15,7.56,6.76,8.62,11.2,11.16,10.03,10.06,11.2
WS10M_MAX,2000,24.0,-105.625,3.92,3.89,4.37,4.7,3.8,3.2,2.56,2.42,3.27,3.29,4.27,3.98,4.7
WS10M_MAX,2000,24.0,-106.25,4.6,4.61,5.01,5.23,5.64,4.76,4.9,3.9,4.27,3.49,3.41,4.29,5.64
WS10M_MAX,2000,24.0,-106.875,5.97,8.21,7.55,6.19,7.83,7.16,6.84,5.4,6.32,5.82,6.66,6.43,8.21
WS10M_MAX,2000,24.0,-107.5,8.38,9.95,8.55,7.59,8.25,7.02,7.26,7.33,8.81,8.85,10.03,9.31,10.03
WS10M_MAX,2000,24.0,-108.125,10.37,10.87,10.71,9.49,7.52,7.25,7.4,8.29,9.88,11.34,10.24,10.3,11.34
WS10M_MAX,2000,24.0,-108.75,10.09,10.79,10.51,10.11,7.02,7.46,8.11,7.22,10.68,10.91,10.18,9.91,10.91
WS10M_MAX,2000,24.5,-105.625,4.67,5.22,6.43,6.68,4.52,3.67,3.52,3.7,5.03,4.76,5.92,4.88,6.68
WS10M_MAX,2000,24.5,-106.25,3.81,2.83,3.29,3.7,3.64,2.94,2.16,2.4,2.46,2.33,2.77,3.7,3.81
WS10M_MAX,2000,24.5,-106.875,7.24,7.32,7.01,7.47,8.09,7.41,6.72,5.89,7.22,5.79,5.55,5.98,8.09
WS10M_MAX,2000,24.5,-107.5,6.17,8.09,8.83,7.94,8.39,7.09,6.79,6.75,7.6,6.15,6.82,6.59,8.83
WS10M_MAX,2000,24.5,-108.125,9.38,9.56,10.55,9.1,7.81,7.28,8.67,8.02,8.6,9.78,9.7,9.3,10.55
WS10M_MAX,2000,24.5,-108.75,10.02,10.59,10.82,10.22,7.48,7.11,9.62,7.87,9.96,10.73,10.72,9.74,10.82
WS10M_MAX,2000,25.0,-105.625,7.5,7.58,10.09,9.3,6.28,5.0,5.58,5.17,6.92,6.89,9.3,6.65,10.09
WS10M_MAX,2000,25.0,-106.25,4.44,3.88,4.97,5.0,3.96,3.29,2.45,2.57,3.22,3.63,4.21,4.23,5.0
WS10M_MAX,2000,25.0,-106.875,8.47,5.84,6.12,6.34,6.59,6.41,6.4,5.58,5.95,5.44,5.78,7.71,8.47
WS10M_MAX,2000,25.0,-107.5,6.89,7.07,10.45,8.2,8.52,8.45,6.15,6.3,7.58,5.67,6.29,6.73,10.45
WS10M_MAX,2000,25.0,-108.125,7.29,7.79,11.01,8.99,7.87,7.38,8.32,7.55,7.7,6.84,7.45,6.96,11.01
WS10M_MAX,2000,25.0,-108.75,9.45,9.8,10.37,9.89,7.74,7.74,9.92,8.14,8.47,9.59,9.8,8.91,10.37
WS10M_MAX,2000,25.5,-105.625,9.76,9.96,12.25,10.6,7.54,6.0,6.55,6.43,7.47,8.07,11.32,8.29,12.25
WS10M_MAX,2000,25.5,-106.25,5.32,5.88,7.86,6.93,5.15,3.96,4.39,4.3,5.31,5.59,6.79,5.02,7.86
WS10M_MAX,2000,25.5,-106.875,5.95,4.73,5.26,5.93,4.89,4.06,3.73,3.48,4.45,3.74,4.25,6.24,6.24
WS10M_MAX,2000,25.5,-107.5,5.99,5.37,8.05,6.23,6.64,7.56,5.91,5.74,6.3,4.96,5.74,6.32,8.05
WS10M_MAX,2000,25.5,-108.125,6.22,7.0,11.24,8.87,8.29,7.65,6.93,7.08,7.03,6.71,6.18,5.73,11.24
WS10M_MAX,2000,25.5,-108.75,7.97,8.04,10.86,9.6,8.62,8.13,8.61,7.66,7.4,7.26,7.35,7.71,10.86
WS10M_MAX,2000,26.0,-105.625,12.84,12.81,14.83,12.48,9.03,7.34,7.66,7.64,8.7,9.67,13.87,10.57,14.83
WS10M_MAX,2000,26.0,-106.25,7.26,7.76,9.81,7.85,6.0,4.73,5.28,5.07,6.12,6.89,8.51,6.38,9.81
WS10M_MAX,2000,26.0,-106.875,4.63,5.26,6.72,5.91,4.95,4.01,3.48,3.5,4.33,4.81,5.79,4.94,6.72
WS10M_MAX,2000,26.0,-107.5,5.05,4.58,5.97,5.02,5.59,5.45,4.56,4.18,4.27,4.35,4.6,5.29,5.97
WS10M_MAX,2000,26.0,-108.125,6.87,6.65,10.34,7.71,7.71,8.81,6.67,7.16,6.89,7.28,6.98,6.55,10.34
WS10M_MAX,2000,26.0,-108.75,6.68,7.06,11.21,9.27,8.86,8.11,6.63,6.88,6.97,7.8,6.22,6.38,11.21
WS10M_MAX,2000,26.5,-105.625,13.69,12.51,13.6,11.53,9.45,7.32,7.52,8.03,9.16,8.96,13.49,9.2,13.69
WS10M_MAX,2000,26.5,-106.25,10.02,10.54,11.62,9.72,7.36,5.55,6.01,6.2,7.01,8.52,10.65,8.29,11.62
WS10M_MAX,2000,26.5,-106.875,6.0,6.55,8.49,7.0,6.05,4.61,4.31,4.39,5.24,6.2,7.59,5.54,8.49
WS10M_MAX,2000,26.5,-107.5,5.47,4.55,6.24,5.52,5.12,4.81,3.83,3.39,4.07,4.24,4.43,5.36,6.24
WS10M_MAX,2000,26.5,-108.125,7.87,6.3,8.18,6.71,6.67,7.84,6.2,6.09,5.73,6.43,6.18,7.76,8.18
WS10M_MAX,2000,26.5,-108.75,7.02,6.75,10.58,8.1,8.38,8.75,5.99,6.61,6.7,8.02,6.13,7.57,10.58
WS10M_MAX,2000,27.0,-105.625,14.65,11.58,13.1,12.25,10.64,7.4,7.59,8.12,9.52,9.28,13.36,9.13,14.65
