-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2007 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLOUD_AMT     CERES SYN1deg Cloud Amount (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLOUD_AMT,2000,23.5,-105.5,0.26,0.28,0.38,0.39,0.36,0.75,0.67,0.7,0.63,0.48,0.53,0.36,0.48
CLOUD_AMT,2000,23.5,-106.5,0.25,0.21,0.37,0.33,0.08,0.53,0.54,0.59,0.6,0.41,0.48,0.3,0.39
CLOUD_AMT,2000,23.5,-107.5,0.32,0.28,0.43,0.32,0.05,0.45,0.5,0.52,0.56,0.44,0.51,0.32,0.39
CLOUD_AMT,2000,23.5,-108.5,0.31,0.3,0.42,0.33,0.09,0.42,0.42,0.43,0.53,0.46,0.51,0.34,0.38
CLOUD_AMT,2000,24.5,-105.5,0.36,0.33,0.4,0.5,0.54,0.78,0.66,0.73,0.61,0.53,0.55,0.42,0.53
CLOUD_AMT,2000,24.5,-106.5,0.26,0.22,0.33,0.34,0.14,0.65,0.65,0.66,0.59,0.45,0.49,0.3,0.42
CLOUD_AMT,2000,24.5,-107.5,0.24,0.2,0.34,0.36,0.09,0.46,0.55,0.56,0.5,0.4,0.46,0.3,0.37
CLOUD_AMT,2000,24.5,-108.5,0.29,0.28,0.38,0.33,0.08,0.32,0.42,0.45,0.43,0.44,0.46,0.33,0.35
CLOUD_AMT,2000,25.5,-105.5,0.22,0.31,0.38,0.42,0.42,0.73,0.58,0.67,0.54,0.48,0.48,0.31,0.46
CLOUD_AMT,2000,25.5,-106.5,0.36,0.36,0.45,0.45,0.38,0.73,0.64,0.69,0.59,0.53,0.56,0.41,0.51
CLOUD_AMT,2000,25.5,-107.5,0.23,0.22,0.35,0.33,0.12,0.57,0.57,0.6,0.5,0.45,0.48,0.33,0.4
CLOUD_AMT,2000,25.5,-108.5,0.25,0.2,0.35,0.33,0.12,0.4,0.49,0.57,0.44,0.44,0.37,0.29,0.35
CLOUD_AMT,2000,26.5,-105.5,0.23,0.32,0.44,0.38,0.4,0.71,0.54,0.6,0.5,0.49,0.41,0.3,0.44
CLOUD_AMT,2000,26.5,-106.5,0.28,0.32,0.4,0.45,0.41,0.74,0.66,0.64,0.58,0.52,0.46,0.33,0.48
CLOUD_AMT,2000,26.5,-107.5,0.23,0.27,0.38,0.39,0.23,0.64,0.59,0.57,0.5,0.51,0.45,0.35,0.43
CLOUD_AMT,2000,26.5,-108.5,0.24,0.24,0.37,0.36,0.15,0.53,0.58,0.55,0.44,0.47,0.44,0.32,0.39
CLOUD_AMT,2001,23.5,-105.5,52.46,41.04,31.09,28.8,41.69,69.46,81.75,74.6,68.85,24.57,25.21,54.1,49.47
CLOUD_AMT,2001,23.5,-106.5,56.69,45.48,38.6,32.2,34.24,50.41,75.55,67.17,67.99,27.48,28.18,55.6,48.3
CLOUD_AMT,2001,23.5,-107.5,66.28,65.37,49.94,48.48,37.27,49.53,72.35,64.35,62.98,29.16,33.43,58.51,53.14
CLOUD_AMT,2001,23.5,-108.5,67.07,61.4,47.76,48.25,33.38,31.21,59.38,52.6,53.69,22.89,33.98,52.88,47.04
